Entity Name,Entity Code,Shade Family,Hex Code,Feature Tag,Color Temperature,Tonality,Room,Popularity,Page Number,Position Number,Latest,Page URL,Complementary Shade 1 - Similar Tone,Similar Tone Hex,Complementary Shade 2 - Recommended Pairing,Recommended Pairing Hex,Complementary Shade 3 - Classic Opposite,Classic Opposite Hex,Complementary Shade 4 - Matched Tonality Opposite,Matched Tonality Opposite Hex,Suggested Wallpaper - Similar Tone,Similar Tone Wallpaper Hex,Suggested Wallpaper Link - Similar Tone,Suggested Wallpaper - Complementary,Complementary Wallpaper Hex,Suggested Wallpaper Link - Complementary,Suggested Texture - Complementary,Complementary Texture Hex,Suggested Texture Link - Complementary,Suggested Texture - Best Aesthetic Match,Best Aesthetic Match Hex,Suggested Texture Link - Best Aesthetic Match
day lily,8060,off whites,#F7EBE5,Recommended,cool,light,all rooms,11,2,3,2190,https://www.asianpaints.com/colour-catalogue/off-white-wall-colours/day-lily.html,stallion brown-n (K217),#655046,perennial glade (7525),#266A61,emphasis (7357),#265D7A,classic (1243),#C8D9E1,Ador - Serenade - Princess - Cream (AW02VH04N75),#F3E8D1,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/AW02VH04N75.jpg,Sabyasachi Chapter 2: India Revival Project - Bel Buti - Indigo (W109WI42S75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W109WI42S75.jpg,Velour Classique (LIC1009CMB1012),#9EC2D6,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LIC1009CMB1012.jpg,Stucco Marble (TXT1048CMB1176),#76BDBF,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1048CMB1176.jpg
tinge of rose,8084,off whites,#F5E6E1,,cool,light,all rooms,12,2,4,2189,https://www.asianpaints.com/colour-catalogue/off-white-wall-colours/tinge-of-rose.html,dark horse-n (K215),#6F4F44,green lantern (7549),#27755E,night dive-n (9676),#19708C,gentle blue (1276),#C8D9DF,Sandtales - Sacred Spirit - Sand Earth 1 (W145Z370N75),#B6715A,https://www.asianpaints.com/content/dam/asian_paints/wall-coverings/wallpaper-shots/wallpaper-asian-paints-W145Z370N75-10x10.jpeg,Sandtales - Mystic Dream - Sand Vivid (W145Z349N75),#567385,https://www.asianpaints.com/content/dam/asian_paints/wall-coverings/wallpaper-shots/wallpaper-asian-paints-W145Z349N75-10x10.jpeg,Antico (LIC1013CMB1007),#41B3D1,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LIC1013CMB1007.jpg,Wall To Floor (IDC1008CMB1005),#D1DDDA,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/IDC1008CMB1005.jpg
soft chenille,8036,off whites,#F9E9DE,Recommended,cool,light,all rooms,13,2,5,2188,https://www.asianpaints.com/colour-catalogue/off-white-wall-colours/soft-chenille.html,havana cigar-n (K210),#604E42,oceanus-n (9731),#166961,cairo blue-n (9653),#26638E,blue cloud-n (9646),#CEDEEA,Ador - Serenade - Spring Day - Pale Brown (AW02VH09N75),#F3E8D1,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/AW02VH09N75.jpg,Sandtales - Sacred Spirit - Midnight Blue (W145Z374N75),#567385,https://www.asianpaints.com/content/dam/asian_paints/wall-coverings/wallpaper-shots/wallpaper-asian-paints-W145Z374N75-10x10.jpeg,Stucco Mirror (LIC1010CMB1005),#9AC0DC,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LIC1010CMB1005.jpg,Metallics Basket (TNB1004CMB1004),#278D84,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/exterior-texture-asian-paints-TNB1004CMB1004.jpeg
zen,8676,off whites,#F4E6DD,,warm,light,all rooms,14,2,6,2187,https://www.asianpaints.com/colour-catalogue/off-white-wall-colours/zen.html,camouflage brown-n (K165),#59493F,deep denim-n (9648),#3E4158,starless night-n (K099),#36444D,blue dawn (7275),#C6D6E1,Ador - Serenade - Fine Flower - Pale Grey (AW02VH14N75),#F3E8D1,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/AW02VH14N75.jpg,Sandtales - Silver Wind - Midnight Blue (W145Z380N75),#567385,https://www.asianpaints.com/content/dam/asian_paints/wall-coverings/wallpaper-shots/wallpaper-asian-paints-W145Z380N75-10x10.jpeg,Stucco Mirror (LIC1010CMB1005),#9AC0DC,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LIC1010CMB1005.jpg,Stucco Marble (TXT1048CMB1179),#42AA9F,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1048CMB1179.jpg
white clay,8620,off whites,#F3E3D7,,warm,light,all rooms,15,2,7,2186,https://www.asianpaints.com/colour-catalogue/off-white-wall-colours/white-clay.html,millet brown-n (K195),#805C41,green rock-n (9730),#0A7369,carbon flint (8269),#434B51,pool party (7250),#C4D7E6,Ador - Serenade - Fine Flower - Cream (AW02VH16N75),#F3E8D1,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/AW02VH16N75.jpg,Sandtales - Wind and Sand - Midnight Blue (W145Z385N75),#567385,https://www.asianpaints.com/content/dam/asian_paints/wall-coverings/wallpaper-shots/wallpaper-asian-paints-W145Z385N75-10x10.jpeg,Stucco Mirror (LIC1010CMB1005),#9AC0DC,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LIC1010CMB1005.jpg,Antico (LIC1013CMB1007),#41B3D1,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LIC1013CMB1007.jpg
milkshake,8012,oranges,#F9E4D1,Recommended,warm,light,all rooms,16,2,8,2185,https://www.asianpaints.com/colour-catalogue/orange-wall-colours/milkshake.html,pretzels-n (K289),#A77548,aquatica-n (9718),#007673,inky sea (X145),#355775,globe thistle-n (K083),#CFDCEA,Ador - Serenade - Fine Flower - Steel Grey (AW02VH18N75),#F3E8D1,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/AW02VH18N75.jpg,Sandtales - Tribal Ways - Rain Blue (W145Z390N75),#567385,https://www.asianpaints.com/content/dam/asian_paints/wall-coverings/wallpaper-shots/wallpaper-asian-paints-W145Z390N75-10x10.jpeg,Lithos Dazzle (LXE1012CMB1014),#9BB0C6,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LXE1012CMB1014.jpg,Stucco Marble (TXT1048CMB1176),#76BDBF,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1048CMB1176.jpg
lilac frost,7148,off whites,#ECE7E4,,cool,light,all rooms,17,3,1,2184,https://www.asianpaints.com/colour-catalogue/off-white-wall-colours/lilac-frost.html,dried spices (8749),#534842,teal black-n (K098),#344845,autumn shower (7381),#40494E,blue cloud-n (9646),#CEDEEA,Ador - Serenade - Spring Day - Faded Silver (AW02VH11N75),#C8B8A6,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/AW02VH11N75.jpg,Sandtales - Drifting - Oasis Blue (W145Z392N75),#567385,https://www.asianpaints.com/content/dam/asian_paints/wall-coverings/wallpaper-shots/wallpaper-asian-paints-W145Z392N75-10x10.jpeg,Velour Classique (LIC1009CMB1012),#9EC2D6,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LIC1009CMB1012.jpg,Metallics Charpai (TNB1006CMB1007),#7BAEA8,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/exterior-texture-asian-paints-TNB1006CMB1007.jpeg
twilight sky,8204,off whites,#EFE8E3,Recommended,cool,light,all rooms,18,3,2,2183,https://www.asianpaints.com/colour-catalogue/off-white-wall-colours/twilight-sky.html,vintage walnut (8773),#685547,shimla valleys-n (K133),#3C4948,prussian blue (7341),#34556E,stratos-n (9645),#DFE6EE,Sabyasachi Chapter 2: India Revival Project - Charulata - Chandan (W109WI21S75),#C8B8A6,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W109WI21S75.jpg,Sandtales - Blown Away - Rainy Blue (W145Z398N75),#567385,https://www.asianpaints.com/content/dam/asian_paints/wall-coverings/wallpaper-shots/wallpaper-asian-paints-W145Z398N75-10x10.jpeg,Opaco Matt Rain (IMP1003CMB1016),#7794A8,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/IMP1003CMB1016.png,Spatula (TXT1042CMB1145),#1D867E,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1042CMB1145.jpg
daisy bloom,L178,off whites,#EFEAE6,,warm,light,all rooms,19,3,3,2182,https://www.asianpaints.com/colour-catalogue/off-white-wall-colours/daisy-bloom.html,ranthambore creek-n (K189),#5D4F42,estuarine-n (9711),#3E5B5A,pencil sketch-n (K296),#575D62,pool party (7250),#C4D7E6,Sabyasachi Chapter 2: India Revival Project - Guldasta - Chandan (W109WI25S75),#C8B8A6,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W109WI25S75.jpg,Sabyasachi Chapter 3: Heartland - Pahalgam Paisley - Indigo Moss (W150Z432S75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W150Z432S75.jpg,Velour Classique (LIC1009CMB1011),#B7CBE0,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LIC1009CMB1011.jpg,Antico (LIC1013CMB1004),#E1EDED,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LIC1013CMB1004.jpg
willow creek,8068,off whites,#F7EBE4,,cool,light,all rooms,20,3,4,2181,https://www.asianpaints.com/colour-catalogue/off-white-wall-colours/willow-creek.html,mulethi roots-n (K196),#6D5343,emerald sea-n (9739),#157967,lake sapphire-n (9660),#285B79,sail away (7298),#B6CEDB,Ador - Serenade - Cottage Rose - Blooming Rust (AW02VH19N75),#F3E8D1,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/AW02VH19N75.jpg,Sabyasachi Chapter 3: Heartland - Pahalgam Paisley - Monsoon Rose (W150Z433S75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W150Z433S75.jpg,Velour Classique (LIC1009CMB1012),#9EC2D6,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LIC1009CMB1012.jpg,Dune Halo (LIC1012CMB1011),#1397CB,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LIC1012CMB1011.jpg
gossamer,8052,off whites,#F7EBE2,,cool,light,all rooms,21,3,5,2180,https://www.asianpaints.com/colour-catalogue/off-white-wall-colours/gossamer.html,cedar bark-n (K194),#875D40,malibu green-n (9722),#009188,ocean force (X146),#1D628A,blue dawn (7275),#C6D6E1,Ador - Serenade - Flower Trail - Pale Brown (AW02VH35N75),#F3E8D1,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/AW02VH35N75.jpg,Sabyasachi Chapter 3: Heartland - Jaipur Valencia - Pani (W150Z686S75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W150Z686S75.jpg,Opaco Matt (LIC1011CMB1012),#A4ADB6,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LIC1011CMB1012.jpg,Metallics Basket (TNB1004CMB1004),#278D84,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/exterior-texture-asian-paints-TNB1004CMB1004.jpeg
blush,L139,off whites,#F7EBE0,Recommended,cool,light,all rooms,22,3,6,2179,https://www.asianpaints.com/colour-catalogue/off-white-wall-colours/blush.html,tuscan olive-n (K283),#655342,elm grove (7453),#196A6D,twilight zone (7325),#275C91,globe thistle-n (K083),#CFDCEA,Ador - Serenade - Dazzler - Gold (AW02VH44N75),#F3E8D1,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/AW02VH44N75.jpg,Sabyasachi Chapter 3: Heartland - Jaipur Valencia - Wedgewood (W150Z689S75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W150Z689S75.jpg,Lithos (LXE1005CMB1014),#9BAABA,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LXE1005CMB1014.jpg,Antico (LIC1013CMB1006),#6AC3E9,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LIC1013CMB1006.jpg
summer blush-n,945,off whites,#EADED5,,warm,light,all rooms,23,3,7,2178,https://www.asianpaints.com/colour-catalogue/off-white-wall-colours/summer-blush-n.html,desert shrub-n (K192),#896346,ocean notion-n (9719),#375F5E,stormy night-n (9664),#31566B,summer sky (7274),#AFC8DD,Sabyasachi Chapter 2: India Revival Project - Travancore Chintz - Aamras (W109WI41S75),#C8B8A6,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W109WI41S75.jpg,Sabyasachi Chapter 3: Heartland - Kamalika - Persian Sea (W150Z694S75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W150Z694S75.jpg,Stucco Marble (TXT1048CMB1177),#4D85AB,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1048CMB1177.jpg,Antico (LIC1013CMB1007),#41B3D1,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LIC1013CMB1007.jpg
fresh fuel,9516,off whites,#E7DECF,,warm,light,all rooms,24,3,8,2177,https://www.asianpaints.com/colour-catalogue/off-white-wall-colours/fresh-fuel.html,olive lake-n (K173),#595041,prussian teal-n (9700),#235F69,night swimming-n (9655),#384251,house of windsor (7227),#CFD4DE,Ador - Serenade - Dazzler - Pale Brown (AW02VH46N75),#F3E8D1,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/AW02VH46N75.jpg,Magnificent South - Thousand Flowers - Peacock Blue (W151Z706N75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W151Z706N75.jpg,Dune Halo (LXE1010CMB1005),#9096A0,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LXE1010CMB1005.jpg,Dune Halo (LIC1012CMB1011),#1397CB,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LIC1012CMB1011.jpg
white butter,L164,off whites,#EAE7E1,,warm,light,all rooms,25,4,1,2176,https://www.asianpaints.com/colour-catalogue/off-white-wall-colours/white-butter.html,bravo (8429),#565147,black moss-n (K298),#405053,thunder cloud (8261),#535456,pearly gates (7219),#E1E3E7,Ador - Serenade - Dazzler - Ivory (AW02VH47N75),#F3E8D1,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/AW02VH47N75.jpg,Magnificent South - Thousand Flowers - Nile Blue (W151Z707N75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W151Z707N75.jpg,Lithos Moonwalk (LXE1008CMB1015),#98A6B6,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LXE1008CMB1015.jpg,Colourwash (TXT1012CMB1049),#2F98AD,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1012CMB1049.jpg
